Sil_f0_0_E -0.02120045 0.00191078
Sil_f0_0_P 95.79554082 5.95658953
Sil_f0_1_E -0.13634292 0.00196396
Sil_f0_1_P 137.54149856 6.18498689
Sil_f0_2_E -0.10370435 0.00197056
Sil_f0_2_P 97.84383559 6.34353856
Sil_f0_3_E -0.10205658 0.00202421
Sil_f0_3_P 98.95211388 5.99676542
Sil_f0_4_E -0.03606485 0.00199120
Sil_f0_4_P 95.77196550 5.97832206
Sil_f0_5_E -0.08953093 0.00197602
Sil_f0_5_P 102.05364859 6.00639286
Sil_f0_6_E -0.13430462 0.00201799
Sil_f0_6_P 110.41268012 6.18793816
Sil_f0_7_E -0.05975792 0.00193382
Sil_f0_7_P 102.72610086 6.06143806
Sil_f0_8_E -0.09060284 0.00198713
Sil_f0_8_P 104.51918359 5.90974111
Sil_f0_9_E -0.03671890 0.00194730
Sil_f0_9_P 105.88431951 5.97560123
Sil_f0_10_E -0.09667015 0.00203345
Sil_f0_10_P 97.84106728 5.93671905
Sil_f0_11_E -0.02243815 0.00194618
Sil_f0_11_P 98.01457055 6.20967794
